Institution Name,City,State,Postal Code,Website,Average SAT for males,Average SAT for females,Average GPA for males,Average GPA for females,In state tuition,Out state tuition,Average ACT males,Average ACT females,Average number of AP Classes as male,Average number of AP Classes as female,Average number of Extracurriculars
Phillips University,Washington,District of Columbia,20041,http://photobucket.com/leo/odio/porttitor/id/consequat/in/consequat.html?pellentesque=phasellus&volutpat=in&dui=felis&maecenas=donec&tristique=semper&est=sapien&et=a&tempus=libero&semper=nam&est=dui&quam=proin&pharetra=leo,1238,1566,3.02,0.7,36099,50350,34,23,2,18,1
Universitas Darma Agung,West Palm Beach,Florida,33411,http://istockphoto.com/penatibus/et/magnis/dis.aspx?diam=nullam&in=varius&magna=nulla&bibendum=facilisi&imperdiet=cras&nullam=non&orci=velit&pede=nec&venenatis=nisi&non=vulputate&sodales=nonummy&sed=maecenas&tincidunt=tincidunt&eu=lacus&felis=at&fusce=velit&posuere=vivamus&felis=vel&sed=nulla&lacus=eget&morbi=eros&sem=elementum&mauris=pellentesque&laoreet=quisque&ut=porta&rhoncus=volutpat&aliquet=erat&pulvinar=quisque&sed=erat&nisl=eros&nunc=viverra&rhoncus=eget,1525,1340,0.69,2.57,35445,50043,20,26,14,7,7
University of Evansville,Charleston,West Virginia,25313,http://lulu.com/posuere/cubilia/curae/nulla.js?elit=nulla&ac=justo,1033,1082,1.65,0.9,29398,70902,33,23,13,4,6
Texas A&M University - Texarkana,Tallahassee,Florida,32304,https://latimes.com/eget.xml?odio=eu&odio=massa&elementum=donec&eu=dapibus&interdum=duis&eu=at&tincidunt=velit&in=eu&leo=est&maecenas=congue&pulvinar=elementum&lobortis=in&est=hac&phasellus=habitasse&sit=platea&amet=dictumst&erat=morbi&nulla=vestibulum&tempus=velit&vivamus=id&in=pretium&felis=iaculis&eu=diam&sapien=erat&cursus=fermentum&vestibulum=justo&proin=nec&eu=condimentum&mi=neque&nulla=sapien&ac=placerat&enim=ante&in=nulla&tempor=justo&turpis=aliquam&nec=quis&euismod=turpis&scelerisque=eget,906,1460,2.7,2.22,39106,42746,26,34,13,1,9
Northeastern Illinois University,Murfreesboro,Tennessee,37131,http://addthis.com/sollicitudin/vitae/consectetuer.xml?nunc=lacus&purus=purus&phasellus=aliquet&in=at&felis=feugiat&donec=non&semper=pretium&sapien=quis&a=lectus&libero=suspendisse&nam=potenti&dui=in&proin=eleifend&leo=quam&odio=a&porttitor=odio&id=in&consequat=hac&in=habitasse&consequat=platea,1401,1164,0.71,2.18,33385,75218,33,20,7,9,3
William and Catherine Booth College,Hartford,Connecticut,06145,http://ocn.ne.jp/sed.json?et=at&eros=lorem&vestibulum=integer&ac=tincidunt&est=ante&lacinia=vel&nisi=ipsum&venenatis=praesent&tristique=blandit&fusce=lacinia&congue=erat&diam=vestibulum&id=sed&ornare=magna&imperdiet=at&sapien=nunc&urna=commodo&pretium=placerat&nisl=praesent&ut=blandit&volutpat=nam&sapien=nulla&arcu=integer&sed=pede&augue=justo&aliquam=lacinia,832,1356,3.59,0.92,35158,31831,20,12,7,2,13
Katholische Fachhochschule Nordrhein-Westfalen,Topeka,Kansas,66642,http://aboutads.info/in/porttitor/pede/justo/eu/massa/donec.jpg?nec=faucibus&condimentum=orci&neque=luctus&sapien=et&placerat=ultrices&ante=posuere&nulla=cubilia&justo=curae&aliquam=nulla&quis=dapibus&turpis=dolor&eget=vel&elit=est&sodales=donec&scelerisque=odio&mauris=justo&sit=sollicitudin&amet=ut&eros=suscipit&suspendisse=a&accumsan=feugiat&tortor=et&quis=eros&turpis=vestibulum&sed=ac&ante=est&vivamus=lacinia&tortor=nisi&duis=venenatis&mattis=tristique&egestas=fusce,1221,623,2.95,0.93,18995,32801,29,13,11,20,12
Kasetsart University,Los Angeles,California,90101,https://arstechnica.com/eu.js?in=mauris&lectus=vulputate&pellentesque=elementum&at=nullam&nulla=varius&suspendisse=nulla&potenti=facilisi&cras=cras&in=non&purus=velit&eu=nec&magna=nisi&vulputate=vulputate&luctus=nonummy&cum=maecenas&sociis=tincidunt&natoque=lacus&penatibus=at&et=velit&magnis=vivamus,983,1535,1.97,2.17,27476,74090,33,14,8,13,4
Ecole Nationale d'Architecture,Dayton,Ohio,45408,https://google.ca/in/libero/ut/massa/volutpat.html?eu=quis&tincidunt=turpis&in=sed&leo=ante&maecenas=vivamus&pulvinar=tortor&lobortis=duis&est=mattis&phasellus=egestas&sit=metus&amet=aenean&erat=fermentum&nulla=donec&tempus=ut&vivamus=mauris&in=eget&felis=massa&eu=tempor&sapien=convallis&cursus=nulla&vestibulum=neque&proin=libero&eu=convallis&mi=eget&nulla=eleifend&ac=luctus&enim=ultricies&in=eu&tempor=nibh&turpis=quisque&nec=id&euismod=justo&scelerisque=sit&quam=amet&turpis=sapien&adipiscing=dignissim&lorem=vestibulum&vitae=vestibulum&mattis=ante&nibh=ipsum&ligula=primis&nec=in&sem=faucibus&duis=orci&aliquam=luctus&convallis=et&nunc=ultrices&proin=posuere&at=cubilia&turpis=curae&a=nulla&pede=dapibus&posuere=dolor&nonummy=vel&integer=est&non=donec&velit=odio&donec=justo&diam=sollicitudin&neque=ut,1441,1065,0.79,3.58,24542,64031,13,29,12,4,1
Sweet Briar College,Vancouver,Washington,98687,https://ibm.com/nunc/commodo/placerat/praesent/blandit.xml?in=in&congue=porttitor&etiam=pede&justo=justo&etiam=eu&pretium=massa&iaculis=donec&justo=dapibus&in=duis&hac=at&habitasse=velit&platea=eu&dictumst=est&etiam=congue&faucibus=elementum&cursus=in&urna=hac&ut=habitasse&tellus=platea&nulla=dictumst&ut=morbi&erat=vestibulum&id=velit&mauris=id&vulputate=pretium&elementum=iaculis&nullam=diam&varius=erat&nulla=fermentum&facilisi=justo&cras=nec&non=condimentum&velit=neque&nec=sapien&nisi=placerat&vulputate=ante&nonummy=nulla&maecenas=justo&tincidunt=aliquam&lacus=quis&at=turpis&velit=eget&vivamus=elit&vel=sodales&nulla=scelerisque&eget=mauris&eros=sit&elementum=amet&pellentesque=eros&quisque=suspendisse&porta=accumsan&volutpat=tortor&erat=quis&quisque=turpis&erat=sed&eros=ante&viverra=vivamus&eget=tortor&congue=duis&eget=mattis&semper=egestas&rutrum=metus&nulla=aenean&nunc=fermentum&purus=donec&phasellus=ut&in=mauris&felis=eget&donec=massa&semper=tempor&sapien=convallis&a=nulla&libero=neque&nam=libero,697,1587,1.36,2.9,17669,40212,36,21,4,8,0
Universidad La Salle,Camden,New Jersey,08104,http://tamu.edu/mattis/egestas/metus.xml?turpis=tincidunt&donec=ante&posuere=vel&metus=ipsum&vitae=praesent&ipsum=blandit&aliquam=lacinia&non=erat&mauris=vestibulum&morbi=sed&non=magna&lectus=at&aliquam=nunc&sit=commodo&amet=placerat&diam=praesent&in=blandit&magna=nam&bibendum=nulla&imperdiet=integer&nullam=pede&orci=justo&pede=lacinia&venenatis=eget&non=tincidunt&sodales=eget&sed=tempus&tincidunt=vel&eu=pede&felis=morbi&fusce=porttitor&posuere=lorem&felis=id&sed=ligula&lacus=suspendisse&morbi=ornare&sem=consequat&mauris=lectus&laoreet=in&ut=est&rhoncus=risus&aliquet=auctor&pulvinar=sed&sed=tristique&nisl=in&nunc=tempus,941,1324,3.01,3.78,26546,65884,17,10,18,13,12
University of Toledo,Jacksonville,Florida,32230,https://dell.com/elit/proin/interdum/mauris.png?in=felis&sapien=sed&iaculis=lacus&congue=morbi&vivamus=sem&metus=mauris&arcu=laoreet&adipiscing=ut&molestie=rhoncus&hendrerit=aliquet&at=pulvinar&vulputate=sed&vitae=nisl&nisl=nunc&aenean=rhoncus&lectus=dui&pellentesque=vel&eget=sem&nunc=sed&donec=sagittis&quis=nam&orci=congue&eget=risus&orci=semper&vehicula=porta&condimentum=volutpat&curabitur=quam&in=pede&libero=lobortis&ut=ligula&massa=sit,868,1186,1.23,2.24,25859,49122,30,22,14,4,4
Purdue University Calumet,Wilmington,North Carolina,28405,https://salon.com/ipsum/dolor.xml?vivamus=nullam&tortor=sit&duis=amet&mattis=turpis&egestas=elementum&metus=ligula&aenean=vehicula&fermentum=consequat&donec=morbi&ut=a&mauris=ipsum&eget=integer&massa=a&tempor=nibh&convallis=in&nulla=quis&neque=justo&libero=maecenas&convallis=rhoncus&eget=aliquam&eleifend=lacus&luctus=morbi&ultricies=quis&eu=tortor&nibh=id&quisque=nulla&id=ultrices&justo=aliquet&sit=maecenas&amet=leo&sapien=odio&dignissim=condimentum&vestibulum=id&vestibulum=luctus&ante=nec&ipsum=molestie&primis=sed&in=justo&faucibus=pellentesque&orci=viverra&luctus=pede&et=ac&ultrices=diam&posuere=cras&cubilia=pellentesque&curae=volutpat&nulla=dui&dapibus=maecenas&dolor=tristique&vel=est&est=et,1520,1127,0.58,2.17,43785,29236,12,28,12,17,3
Taurida National V.I.Vernadsky University,Raleigh,North Carolina,27610,https://networkadvertising.org/justo/lacinia/eget/tincidunt/eget.js?pede=integer&ac=a&diam=nibh&cras=in&pellentesque=quis&volutpat=justo&dui=maecenas&maecenas=rhoncus&tristique=aliquam&est=lacus&et=morbi&tempus=quis&semper=tortor&est=id&quam=nulla&pharetra=ultrices&magna=aliquet&ac=maecenas&consequat=leo&metus=odio&sapien=condimentum&ut=id&nunc=luctus&vestibulum=nec&ante=molestie&ipsum=sed&primis=justo&in=pellentesque&faucibus=viverra&orci=pede&luctus=ac&et=diam&ultrices=cras&posuere=pellentesque&cubilia=volutpat&curae=dui&mauris=maecenas&viverra=tristique&diam=est&vitae=et&quam=tempus&suspendisse=semper&potenti=est&nullam=quam&porttitor=pharetra&lacus=magna&at=ac&turpis=consequat&donec=metus&posuere=sapien&metus=ut&vitae=nunc&ipsum=vestibulum&aliquam=ante&non=ipsum&mauris=primis&morbi=in&non=faucibus&lectus=orci&aliquam=luctus&sit=et&amet=ultrices&diam=posuere&in=cubilia&magna=curae&bibendum=mauris&imperdiet=viverra&nullam=diam&orci=vitae&pede=quam&venenatis=suspendisse&non=potenti&sodales=nullam&sed=porttitor&tincidunt=lacus&eu=at&felis=turpis,1221,731,1.43,0.54,44508,37920,11,17,13,19,11
Nairobi Institute of Business Studies ,North Little Rock,Arkansas,72199,https://purevolume.com/vel/augue/vestibulum/ante.xml?cursus=dictumst&id=etiam&turpis=faucibus&integer=cursus&aliquet=urna&massa=ut&id=tellus&lobortis=nulla&convallis=ut&tortor=erat&risus=id&dapibus=mauris&augue=vulputate&vel=elementum&accumsan=nullam&tellus=varius&nisi=nulla&eu=facilisi&orci=cras&mauris=non&lacinia=velit&sapien=nec&quis=nisi&libero=vulputate&nullam=nonummy&sit=maecenas&amet=tincidunt&turpis=lacus&elementum=at&ligula=velit&vehicula=vivamus&consequat=vel&morbi=nulla&a=eget&ipsum=eros&integer=elementum&a=pellentesque&nibh=quisque&in=porta&quis=volutpat&justo=erat&maecenas=quisque&rhoncus=erat&aliquam=eros&lacus=viverra&morbi=eget&quis=congue&tortor=eget&id=semper&nulla=rutrum&ultrices=nulla&aliquet=nunc&maecenas=purus&leo=phasellus&odio=in&condimentum=felis&id=donec&luctus=semper,1178,984,1.68,1.68,33870,34546,31,18,5,10,13
Ecole Nationale Supérieure des Arts et Industries Textiles,Marietta,Georgia,30061,https://mysql.com/consequat/lectus/in/est.png?ut=amet&mauris=justo&eget=morbi&massa=ut&tempor=odio&convallis=cras&nulla=mi&neque=pede&libero=malesuada&convallis=in&eget=imperdiet&eleifend=et&luctus=commodo&ultricies=vulputate&eu=justo&nibh=in&quisque=blandit&id=ultrices&justo=enim&sit=lorem&amet=ipsum&sapien=dolor&dignissim=sit,862,1292,3.94,1.85,19203,78766,22,20,6,8,11
Oakton Community College,North Little Rock,Arkansas,72118,https://google.pl/orci/nullam/molestie/nibh.json?in=non&consequat=mauris&ut=morbi&nulla=non&sed=lectus&accumsan=aliquam&felis=sit&ut=amet&at=diam&dolor=in&quis=magna&odio=bibendum&consequat=imperdiet&varius=nullam&integer=orci&ac=pede&leo=venenatis&pellentesque=non&ultrices=sodales&mattis=sed&odio=tincidunt&donec=eu&vitae=felis&nisi=fusce&nam=posuere&ultrices=felis&libero=sed&non=lacus&mattis=morbi&pulvinar=sem&nulla=mauris&pede=laoreet&ullamcorper=ut&augue=rhoncus&a=aliquet&suscipit=pulvinar&nulla=sed&elit=nisl&ac=nunc&nulla=rhoncus&sed=dui&vel=vel&enim=sem&sit=sed&amet=sagittis&nunc=nam&viverra=congue&dapibus=risus&nulla=semper&suscipit=porta&ligula=volutpat&in=quam&lacus=pede&curabitur=lobortis&at=ligula&ipsum=sit&ac=amet&tellus=eleifend&semper=pede&interdum=libero&mauris=quis&ullamcorper=orci&purus=nullam&sit=molestie&amet=nibh&nulla=in&quisque=lectus,1077,1241,3.59,1.39,34935,36415,17,10,16,20,14
Siberian Academy of Public Services,Anniston,Alabama,36205,https://1688.com/sit.json?dapibus=porttitor&nulla=lorem&suscipit=id&ligula=ligula&in=suspendisse&lacus=ornare&curabitur=consequat,1061,1297,2.95,2.37,22143,42939,15,11,2,1,5
Joetsu University of Education,Fresno,California,93715,https://cbslocal.com/cras/pellentesque/volutpat/dui/maecenas/tristique/est.jsp?ac=lacinia&diam=eget&cras=tincidunt&pellentesque=eget&volutpat=tempus&dui=vel&maecenas=pede&tristique=morbi&est=porttitor&et=lorem&tempus=id&semper=ligula&est=suspendisse&quam=ornare&pharetra=consequat&magna=lectus&ac=in&consequat=est&metus=risus&sapien=auctor&ut=sed&nunc=tristique&vestibulum=in&ante=tempus&ipsum=sit&primis=amet&in=sem&faucibus=fusce&orci=consequat&luctus=nulla&et=nisl&ultrices=nunc&posuere=nisl&cubilia=duis&curae=bibendum&mauris=felis&viverra=sed&diam=interdum&vitae=venenatis&quam=turpis&suspendisse=enim&potenti=blandit&nullam=mi&porttitor=in&lacus=porttitor&at=pede&turpis=justo&donec=eu&posuere=massa&metus=donec&vitae=dapibus&ipsum=duis&aliquam=at&non=velit&mauris=eu&morbi=est&non=congue&lectus=elementum&aliquam=in&sit=hac&amet=habitasse&diam=platea&in=dictumst&magna=morbi&bibendum=vestibulum&imperdiet=velit&nullam=id&orci=pretium&pede=iaculis&venenatis=diam&non=erat&sodales=fermentum&sed=justo&tincidunt=nec&eu=condimentum&felis=neque&fusce=sapien&posuere=placerat&felis=ante&sed=nulla&lacus=justo&morbi=aliquam,632,1321,1.08,3.17,34010,45920,33,18,18,9,6
Tobb Economics and Technology University,Saint Paul,Minnesota,55114,http://stanford.edu/natoque/penatibus/et/magnis/dis.xml?nulla=varius&ultrices=integer&aliquet=ac&maecenas=leo&leo=pellentesque&odio=ultrices&condimentum=mattis&id=odio&luctus=donec&nec=vitae&molestie=nisi&sed=nam&justo=ultrices&pellentesque=libero&viverra=non&pede=mattis&ac=pulvinar&diam=nulla&cras=pede&pellentesque=ullamcorper&volutpat=augue&dui=a&maecenas=suscipit&tristique=nulla&est=elit,762,917,2.89,1.81,11316,39450,14,36,6,14,12
University of Salford,Lexington,Kentucky,40546,http://comcast.net/aliquet/at/feugiat/non.png?augue=rhoncus&a=aliquet&suscipit=pulvinar&nulla=sed&elit=nisl&ac=nunc&nulla=rhoncus&sed=dui&vel=vel&enim=sem&sit=sed&amet=sagittis&nunc=nam&viverra=congue&dapibus=risus&nulla=semper&suscipit=porta&ligula=volutpat&in=quam&lacus=pede&curabitur=lobortis&at=ligula&ipsum=sit&ac=amet&tellus=eleifend&semper=pede&interdum=libero&mauris=quis&ullamcorper=orci&purus=nullam&sit=molestie&amet=nibh&nulla=in&quisque=lectus&arcu=pellentesque&libero=at&rutrum=nulla&ac=suspendisse&lobortis=potenti&vel=cras&dapibus=in&at=purus&diam=eu&nam=magna&tristique=vulputate&tortor=luctus,1554,606,0.86,1.89,18277,53441,13,16,17,17,8
Fachhochschule Merseburg,Cincinnati,Ohio,45254,https://google.co.uk/libero.aspx?velit=rutrum&donec=rutrum&diam=neque&neque=aenean&vestibulum=auctor&eget=gravida&vulputate=sem&ut=praesent&ultrices=id&vel=massa&augue=id&vestibulum=nisl&ante=venenatis&ipsum=lacinia&primis=aenean&in=sit&faucibus=amet&orci=justo&luctus=morbi&et=ut&ultrices=odio&posuere=cras&cubilia=mi&curae=pede&donec=malesuada&pharetra=in&magna=imperdiet&vestibulum=et&aliquet=commodo&ultrices=vulputate&erat=justo&tortor=in&sollicitudin=blandit&mi=ultrices&sit=enim&amet=lorem&lobortis=ipsum&sapien=dolor&sapien=sit&non=amet&mi=consectetuer&integer=adipiscing&ac=elit&neque=proin&duis=interdum&bibendum=mauris&morbi=non&non=ligula&quam=pellentesque&nec=ultrices&dui=phasellus&luctus=id&rutrum=sapien&nulla=in&tellus=sapien&in=iaculis&sagittis=congue&dui=vivamus&vel=metus&nisl=arcu&duis=adipiscing&ac=molestie&nibh=hendrerit&fusce=at&lacus=vulputate&purus=vitae&aliquet=nisl&at=aenean&feugiat=lectus&non=pellentesque&pretium=eget&quis=nunc&lectus=donec&suspendisse=quis&potenti=orci&in=eget&eleifend=orci&quam=vehicula,873,1407,2.43,3.32,26158,77240,22,18,18,5,8
Universidad de Montemorelos,Grand Forks,North Dakota,58207,http://europa.eu/eget/orci/vehicula/condimentum/curabitur/in/libero.html?nascetur=hac&ridiculus=habitasse&mus=platea&vivamus=dictumst&vestibulum=etiam&sagittis=faucibus&sapien=cursus&cum=urna&sociis=ut&natoque=tellus&penatibus=nulla&et=ut&magnis=erat&dis=id&parturient=mauris&montes=vulputate&nascetur=elementum&ridiculus=nullam&mus=varius&etiam=nulla&vel=facilisi&augue=cras&vestibulum=non&rutrum=velit&rutrum=nec&neque=nisi&aenean=vulputate&auctor=nonummy&gravida=maecenas&sem=tincidunt&praesent=lacus&id=at&massa=velit&id=vivamus&nisl=vel&venenatis=nulla&lacinia=eget&aenean=eros&sit=elementum&amet=pellentesque&justo=quisque&morbi=porta&ut=volutpat&odio=erat&cras=quisque&mi=erat&pede=eros&malesuada=viverra&in=eget&imperdiet=congue&et=eget&commodo=semper&vulputate=rutrum,1448,912,2.54,3.34,44138,54938,24,21,4,19,1
Coker College,Chattanooga,Tennessee,37450,http://adobe.com/sagittis/dui/vel/nisl/duis/ac/nibh.js?vestibulum=tempus&eget=vivamus&vulputate=in&ut=felis&ultrices=eu&vel=sapien&augue=cursus&vestibulum=vestibulum&ante=proin&ipsum=eu&primis=mi&in=nulla&faucibus=ac&orci=enim&luctus=in&et=tempor&ultrices=turpis&posuere=nec&cubilia=euismod&curae=scelerisque&donec=quam&pharetra=turpis&magna=adipiscing&vestibulum=lorem&aliquet=vitae&ultrices=mattis&erat=nibh&tortor=ligula&sollicitudin=nec&mi=sem&sit=duis&amet=aliquam&lobortis=convallis&sapien=nunc&sapien=proin&non=at&mi=turpis&integer=a&ac=pede&neque=posuere&duis=nonummy&bibendum=integer&morbi=non&non=velit&quam=donec&nec=diam&dui=neque&luctus=vestibulum&rutrum=eget&nulla=vulputate&tellus=ut&in=ultrices&sagittis=vel&dui=augue&vel=vestibulum&nisl=ante&duis=ipsum&ac=primis&nibh=in&fusce=faucibus&lacus=orci&purus=luctus&aliquet=et&at=ultrices&feugiat=posuere&non=cubilia&pretium=curae&quis=donec&lectus=pharetra&suspendisse=magna&potenti=vestibulum&in=aliquet&eleifend=ultrices&quam=erat&a=tortor&odio=sollicitudin&in=mi&hac=sit&habitasse=amet&platea=lobortis&dictumst=sapien&maecenas=sapien&ut=non&massa=mi&quis=integer&augue=ac&luctus=neque&tincidunt=duis&nulla=bibendum&mollis=morbi&molestie=non&lorem=quam&quisque=nec&ut=dui&erat=luctus&curabitur=rutrum,776,944,2.06,0.72,25215,72333,15,31,17,2,3
Dániel Berzsenyi Teacher Training College,New York City,New York,10039,http://goo.gl/nisl.json?praesent=consequat&id=metus&massa=sapien&id=ut&nisl=nunc&venenatis=vestibulum&lacinia=ante&aenean=ipsum&sit=primis&amet=in&justo=faucibus&morbi=orci&ut=luctus&odio=et&cras=ultrices&mi=posuere&pede=cubilia&malesuada=curae&in=mauris&imperdiet=viverra&et=diam&commodo=vitae&vulputate=quam&justo=suspendisse&in=potenti&blandit=nullam&ultrices=porttitor&enim=lacus&lorem=at&ipsum=turpis&dolor=donec&sit=posuere&amet=metus&consectetuer=vitae&adipiscing=ipsum&elit=aliquam&proin=non&interdum=mauris&mauris=morbi&non=non&ligula=lectus&pellentesque=aliquam&ultrices=sit&phasellus=amet&id=diam&sapien=in&in=magna&sapien=bibendum&iaculis=imperdiet,1144,872,1.73,0.83,16196,33811,24,27,13,0,10
University of Wisconsin - Superior,Fullerton,California,92835,http://soup.io/eu/tincidunt/in/leo/maecenas/pulvinar.json?vel=eget&augue=nunc&vestibulum=donec&rutrum=quis&rutrum=orci&neque=eget&aenean=orci&auctor=vehicula&gravida=condimentum&sem=curabitur&praesent=in&id=libero&massa=ut&id=massa&nisl=volutpat&venenatis=convallis&lacinia=morbi&aenean=odio&sit=odio&amet=elementum&justo=eu&morbi=interdum&ut=eu&odio=tincidunt&cras=in&mi=leo&pede=maecenas&malesuada=pulvinar&in=lobortis&imperdiet=est&et=phasellus&commodo=sit&vulputate=amet&justo=erat&in=nulla&blandit=tempus&ultrices=vivamus&enim=in&lorem=felis&ipsum=eu&dolor=sapien&sit=cursus&amet=vestibulum&consectetuer=proin&adipiscing=eu&elit=mi&proin=nulla&interdum=ac&mauris=enim&non=in&ligula=tempor&pellentesque=turpis&ultrices=nec&phasellus=euismod&id=scelerisque&sapien=quam&in=turpis&sapien=adipiscing&iaculis=lorem&congue=vitae&vivamus=mattis&metus=nibh&arcu=ligula&adipiscing=nec&molestie=sem&hendrerit=duis&at=aliquam&vulputate=convallis&vitae=nunc&nisl=proin&aenean=at&lectus=turpis&pellentesque=a&eget=pede&nunc=posuere&donec=nonummy&quis=integer&orci=non&eget=velit&orci=donec&vehicula=diam&condimentum=neque&curabitur=vestibulum&in=eget&libero=vulputate&ut=ut&massa=ultrices&volutpat=vel&convallis=augue&morbi=vestibulum&odio=ante&odio=ipsum&elementum=primis&eu=in&interdum=faucibus,1438,630,2.83,0.76,37101,78651,10,36,0,20,3
Technische Universität Dresden,Tampa,Florida,33610,http://artisteer.com/amet/eros/suspendisse/accumsan/tortor/quis.js?hac=vehicula&habitasse=consequat&platea=morbi&dictumst=a&aliquam=ipsum&augue=integer&quam=a&sollicitudin=nibh&vitae=in&consectetuer=quis&eget=justo&rutrum=maecenas&at=rhoncus&lorem=aliquam,1365,995,1.69,1.47,23159,79660,33,26,13,16,6
South Eastern Kenya University,New Orleans,Louisiana,70154,https://earthlink.net/molestie/sed/justo/pellentesque.jpg?donec=at&quis=nunc&orci=commodo&eget=placerat&orci=praesent&vehicula=blandit&condimentum=nam&curabitur=nulla&in=integer&libero=pede&ut=justo&massa=lacinia&volutpat=eget&convallis=tincidunt&morbi=eget&odio=tempus&odio=vel&elementum=pede&eu=morbi&interdum=porttitor&eu=lorem&tincidunt=id&in=ligula&leo=suspendisse&maecenas=ornare&pulvinar=consequat&lobortis=lectus&est=in&phasellus=est&sit=risus&amet=auctor&erat=sed&nulla=tristique&tempus=in&vivamus=tempus&in=sit&felis=amet&eu=sem&sapien=fusce&cursus=consequat&vestibulum=nulla&proin=nisl&eu=nunc&mi=nisl&nulla=duis&ac=bibendum&enim=felis&in=sed&tempor=interdum&turpis=venenatis&nec=turpis&euismod=enim&scelerisque=blandit&quam=mi&turpis=in&adipiscing=porttitor&lorem=pede&vitae=justo&mattis=eu&nibh=massa&ligula=donec&nec=dapibus&sem=duis&duis=at&aliquam=velit&convallis=eu&nunc=est&proin=congue&at=elementum&turpis=in&a=hac&pede=habitasse&posuere=platea&nonummy=dictumst&integer=morbi&non=vestibulum&velit=velit&donec=id&diam=pretium&neque=iaculis&vestibulum=diam&eget=erat&vulputate=fermentum&ut=justo&ultrices=nec&vel=condimentum&augue=neque&vestibulum=sapien&ante=placerat&ipsum=ante&primis=nulla&in=justo&faucibus=aliquam&orci=quis&luctus=turpis&et=eget&ultrices=elit&posuere=sodales&cubilia=scelerisque&curae=mauris,1265,1139,3.79,1.95,24861,51219,21,34,10,4,3
Northwestern Oklahoma State University,Seminole,Florida,34642,http://flavors.me/pharetra/magna/vestibulum/aliquet/ultrices.html?eu=lacus&est=at&congue=turpis&elementum=donec&in=posuere&hac=metus&habitasse=vitae&platea=ipsum&dictumst=aliquam&morbi=non&vestibulum=mauris&velit=morbi&id=non&pretium=lectus&iaculis=aliquam&diam=sit&erat=amet&fermentum=diam&justo=in&nec=magna&condimentum=bibendum&neque=imperdiet&sapien=nullam&placerat=orci&ante=pede&nulla=venenatis&justo=non&aliquam=sodales&quis=sed&turpis=tincidunt&eget=eu&elit=felis&sodales=fusce&scelerisque=posuere&mauris=felis&sit=sed&amet=lacus&eros=morbi&suspendisse=sem&accumsan=mauris&tortor=laoreet&quis=ut&turpis=rhoncus&sed=aliquet&ante=pulvinar&vivamus=sed&tortor=nisl&duis=nunc&mattis=rhoncus&egestas=dui&metus=vel&aenean=sem&fermentum=sed&donec=sagittis&ut=nam&mauris=congue&eget=risus&massa=semper&tempor=porta&convallis=volutpat&nulla=quam&neque=pede&libero=lobortis&convallis=ligula&eget=sit&eleifend=amet,1191,717,1.42,0.6,40776,28792,32,30,0,0,3
Vermont Law School,Springfield,Missouri,65898,http://ucsd.edu/lacinia/nisi/venenatis/tristique/fusce/congue.xml?posuere=quis&nonummy=justo&integer=maecenas&non=rhoncus&velit=aliquam&donec=lacus&diam=morbi&neque=quis&vestibulum=tortor&eget=id&vulputate=nulla&ut=ultrices&ultrices=aliquet&vel=maecenas&augue=leo&vestibulum=odio&ante=condimentum&ipsum=id&primis=luctus&in=nec&faucibus=molestie&orci=sed&luctus=justo&et=pellentesque&ultrices=viverra&posuere=pede&cubilia=ac&curae=diam&donec=cras&pharetra=pellentesque&magna=volutpat&vestibulum=dui&aliquet=maecenas&ultrices=tristique&erat=est&tortor=et&sollicitudin=tempus&mi=semper&sit=est&amet=quam&lobortis=pharetra&sapien=magna&sapien=ac&non=consequat&mi=metus&integer=sapien&ac=ut&neque=nunc&duis=vestibulum&bibendum=ante&morbi=ipsum&non=primis&quam=in&nec=faucibus&dui=orci&luctus=luctus&rutrum=et&nulla=ultrices&tellus=posuere&in=cubilia&sagittis=curae&dui=mauris&vel=viverra&nisl=diam&duis=vitae&ac=quam&nibh=suspendisse&fusce=potenti&lacus=nullam&purus=porttitor&aliquet=lacus&at=at&feugiat=turpis&non=donec&pretium=posuere&quis=metus&lectus=vitae&suspendisse=ipsum&potenti=aliquam&in=non&eleifend=mauris&quam=morbi&a=non&odio=lectus&in=aliquam&hac=sit&habitasse=amet&platea=diam&dictumst=in&maecenas=magna&ut=bibendum&massa=imperdiet&quis=nullam&augue=orci&luctus=pede&tincidunt=venenatis&nulla=non&mollis=sodales&molestie=sed&lorem=tincidunt,628,1484,1.19,1.93,19800,56975,25,11,17,1,8
Nakhchivan Private University,Philadelphia,Pennsylvania,19131,http://upenn.edu/volutpat.js?purus=potenti&sit=nullam&amet=porttitor&nulla=lacus&quisque=at&arcu=turpis&libero=donec&rutrum=posuere&ac=metus,834,1583,3.58,1.37,11571,54628,19,32,6,19,14
